pk_beneficiary_ID,beneficiary_OrganisationName,beneficiary_ContactTitle,beneficiary_ContactNameFirst,beneficiary_ContactNameLast,beneficiary_ContactNamePreferred,beneficiary_Comments,beneficiary_OrganisationAddress_1,beneficiary_OrganisationAddress_2,beneficiary_OrganisationAddress_3,beneficiary_OrganisationSuburb,beneficiary_OrganisationState,beneficiary_OrganisationPostCode,beneficiary_OrganisationCountry,beneficiary_Phone,beneficiary_Fax,beneficiary_Email
13,"(Chuuk) East Caroline Islands, Society of St Vincent de Paul",Mr,"Eliot 

",Cholimay,"Mr Eliot Cholimay
National President
Society of St Vincent de Paul
Immaculate Heart of Mary
P.O. Box 279
WENO, TRUK, FSM 96942
CAROLINE ISLANDS
",,Immaculate Heart of Mary,P.O. Box 279,"WENO, 
","TRUK, FSM ",,96942,ECI,,,
14,"Fiji, St Vincent de Paul Society",Mr,Ratu ,Manoa Naulu,Ratu ,,PO Box 1344,Raojibhai Patel Street,,SUVA,,,Fiji,,,
15,"India, Society of St. Vincent de Paul, Superior Council",Mr,Joseph,Pandian,Joseph,"Tél et Fax : +91 - 22 22 02 14 62 contact us just before you send a fax.
E-mail : svpindhq@mtnl.net.in
site : http://www.ssvpindia.org

","Eucharistic Congress Building N° II
","5 Convent Street
",Colaba,Mumbai,,"400 001
",India,,,
16,"Indonesia, Society of St Vincent de Paul",Mr,Alfonso,Nainggolan,Alfonso,,Jln. Widodaren 15,,,Surabaya,,60251,Indonesia,,,
17,"Kiribati, Society of Saint Vincent De Paul",Fr,Albert,Yelds,Albert,,PO Box 231,BIKENIBEU,,TARAWA,KIRIBATI CP,,Kiribati,,,
18,"SSVP Myanmar National Council
",Dr,Raymond,Wong,Raymond,"


Old Note:
e-mails : 1/ sjaprov@cybertech.net.mm  (Attention: Dr. Thomas Maung Maung Thein) 2/  patrick.whomm@undp.org  (Attention: Sr. Francina)
PLEASE DO NOT MENTION ST VINCENT DE PAUL, BURMA, MYANMAR, YANGON OR RANGOON ON CHEQUE REQ.  PLEASE STATE RECEIVED FROM “VINCENT”
",c/o  Church of Our Lady of Fatima,"No.292 (B) Pyay Road, Myenigone
","Sanchuang,  P.O. 11111
",YANGON,,,Myanmar,,,
19,"Pakistan, Society of St Vincent de Paul, Superior Council",Mr,George,Anthony,George,,204 Apna Villa,Mohan Terrace - Parr Street,,Saddar,Karachi,3-74400,Pakistan,,,
20,"Philippines, Society of St Vincent de Paul, Superior Council",Mr,Salvador,Silverio,Salvador,,Pius XII Catholic Centre,1175 U.N. Avenue,,Manila,,,Philippines,,,
21,"Papua New Guinea, St Vincent de Paul",,,,,CHECK DETAILS WITH KEVIN TAYLOR OR WENDY,,,,,,,PNG,,,
22,"Solomon Islands, Society of St Vincent de Paul",Fr,Frank,Vargas,Frank,,PO Box 237,,,Honiara,,,Solomon Islands,,,
23,"Thailand, Society of St Vincent de Paul",Mr,Peter Suraphol,Senavinin,Peter,,290 Soi Mittakam,Samsen Road,Dusit,Bangkok,,10300,Thailand,,,
24,"Vanuatu, Society of St Vincent de Paul",Mr,Joseph,Tariodo,Joseph,,BP1380,,,Port Vila,,,Vanuatu,,,
26,"Bangladesh, St Vincent de Paul Soicety",Mr,Gabriel ,Mondal,Gabriel ,FIND DETAILS,,,,,,,Bangladesh,,,
27,"Cambodia, St Vincent de Paul Society",,,,,CHECK DETAILS,,,,,,,Cambodia,,,
31,"Sri Lanka, St Vincent de Paul Society",,Leonie,Fernando,Leonie,,,,,,,,Sri Lanka,,,
