Project_Donors::pk_projectdonors_ID,Project_Donors::fk_project_ID,Project_Donors::fk_localconference_ID
56,24,1822
59,27,278
60,30,1582
61,29,267
62,31,2462
63,32,1480
64,33,1814
66,23,1843
67,35,11
68,36,1218
69,37,264
70,38,484
71,39,1730
72,40,600
73,41,896
75,43,831
76,44,571
77,45,16411
78,46,2274
79,47,732
80,50,1770
81,51,698
83,53,916
85,55,2131
86,56,2225
87,57,2442
88,58,758
89,59,654
90,60,485
91,61,1279
92,62,6170
93,63,81
94,64,988
95,65,341
96,66,153
97,67,301
98,68,2571
99,70,12642
100,69,2200
101,72,1058
102,74,2586
103,75,2229
104,76,2300
105,77,246
106,78,106
107,79,160
109,80,888
110,73,1785
112,81,1581
113,82,1620
114,83,566
115,84,2645
116,22,16811
117,86,1707
118,87,898
119,88,1780
120,89,709
121,90,16538
122,91,2359
125,94,897
126,95,1297
127,96,1740
129,98,184
130,99,142
131,100,825
132,101,47
133,102,352
135,108,1251
136,109,1877
137,111,1515
138,103,16814
139,104,16814
140,112,6376
141,113,1467
143,115,1682
144,85,1682
145,116,849
146,117,1133
148,121,1803
149,123,1798
150,125,648
151,126,183
152,127,1679
153,128,2626
154,129,2627
155,131,2450
156,132,2379
157,133,1800
158,134,410
159,135,1866
160,136,2353
161,137,509
162,140,16820
163,141,896
164,142,895
165,143,1539
166,145,1068
167,146,2629
168,130,16821
170,148,11
171,149,1131
172,118,1131
173,120,1575
174,52,2069
175,54,1363
176,28,1459
177,151,782
178,152,1577
179,153,486
180,154,769
181,155,1237
182,156,16824
183,157,1290
184,158,2053
185,124,16828
186,163,2053
187,164,793
188,165,810
189,169,769
190,174,566
191,175,1687
192,176,188
193,178,1435
194,180,955
195,181,2200
196,182,602
197,183,988
198,184,16747
199,138,809
200,144,1938
201,105,16841
202,92,1026
203,170,853
204,167,2166
205,185,16843
206,188,21
207,159,1756
208,168,793
209,189,16723
210,160,2070
211,159,16826
212,160,16849
213,160,16850
214,160,16827
215,161,16851
216,190,520
217,191,778
218,192,1045
219,193,13
220,194,771
221,195,141
222,196,377
223,198,750
225,202,534
226,166,879
227,107,16806
229,204,762
230,205,2646
231,206,1048
232,207,771
233,208,1900
234,209,2379
235,210,1799
236,212,1639
237,213,498
238,214,5
239,215,1695
240,216,1684
241,217,1688
242,218,266
243,219,137
244,220,2628
245,197,16854
246,179,16827
247,211,2068
248,222,16855
249,221,141
250,223,1529
251,224,873
252,225,958
253,226,961
254,227,3000
255,228,16849
256,229,16853
257,230,1270
258,231,16407
259,232,1637
260,233,654
261,234,1044
262,236,446
263,237,1057
264,235,2184
265,238,16858
266,364,16608
267,203,16853
268,172,1900
271,228,16863
272,229,16862
273,434,1680
274,435,685
275,436,1793
276,437,2586
277,438,1930
278,439,1582
279,466,2667
280,455,813
281,467,813
282,468,780
283,469,1087
284,470,382
285,471,1509
286,472,1520
287,481,1142
288,482,1585
289,483,1602
290,484,5
291,485,1614
292,486,327
293,487,16463
294,491,1883
295,494,2080
296,495,2079
297,496,1294
298,497,1277
299,498,940
300,499,978
301,500,818
302,501,711
303,502,2600
304,503,819
305,504,722
306,505,280
307,507,480
308,508,809
309,509,2572
310,510,2239
311,511,1150
312,512,2472
313,513,1312
314,514,239
315,515,186
316,516,5646
317,139,1967
318,518,201
319,519,201
322,199,725
323,200,1066
325,438,16827
326,490,365
327,493,2311
328,489,2105
329,492,2105
330,520,16869
331,488,16870
332,522,16871
333,521,446
334,523,342
335,524,2464
336,525,628
337,526,633
338,527,1584
339,528,2593
340,529,830
341,530,900
342,531,767
343,532,1764
