pk_project_ID,fk_beneficiary_ID,fk_overseasconference_ID,projects_DateProjectReceived,projects_ProjectName,projects_ProjectComments,project_OverseasProject_ID,project_LocalCurrency,projects_ProjectValueLocal,project_ExchangeRate,c_projects_ProjectValue_AUD,c_projects_TotalPaid,c_projects_BalanceOwing,c_projects_Paid_Flag,projects_Paid_Date,projects_AmountPaid,projects_CompletionReportDate
22,20,2244,17/11/2006,"Buying and Selling Patis, Vinegar and other Primary Needs","AUD $625.00 

",NIL,PHP,25000,40,625,625,0,1,03/08/2007,,
23,20,2244,17/11/2006,Candle Making,AUD $656.50,Phillipines,PHP,25000,31.25,800,800,0,1,08/03/2007,,
24,15,1868,30/12/2006,Distribution of Sewing Machines,,P-48/06-07/MDY,INR,30000,33.95,883.65243,884,-0.347569956,1,15/04/2008,,10/08/2009
27,15,6644,22/03/2007,Self Help Project,,P-51/06-07,INR,40000,34.6889,1153.106613,1153,0.106613355,1,03/08/2007,,15/12/2009
28,15,1677,22/03/2007,Cow Bank Revolving Project,Currently untwinned - was twinned with QLD Conference in Bundaberg until September 2006,P-62/06-07,INR,54000,34.6889,1556.693928,1557,-0.306071971,1,01/02/2008,,01/05/2009
29,15,6535,22/03/2007,Grameen Bank,Not accepted by QLD. India has been asked to re-submit in 2009 if the need is still present - 150109 KW,P-69/06-07,INR,50000,34.6889,1441.383267,,1441.383267,,,,
30,15,6512,22/03/2007,Small Business and Petty Shop - Revolving Propject,PROJECT COMPLETE,P-68/06/07,INR,50000,34.6889,1441.383267,1441,0.383266693,1,04/05/2007,,24/08/2008
31,15,6289,22/03/2007,Self Employment,,P-73/06-07,INR,50000,34.6889,1441.383267,,1441.383267,,,,
32,15,5790,22/03/2007,Cow Rearing,,P-74/06-07,INR,40000,34.6889,1153.106613,1153,0.106613355,1,04/05/2007,,15/12/2009
33,15,6051,04/04/2007,Self Help Project - Goat Bank,,P-05/06-07/BLS,INR,40000,34.687,1153.169775,1153,0.16977542,1,03/08/2007,,18/11/2008
35,15,6119,30/04/2007,Ozanam Evening Study & Training Centre,,P-98/06-07/TRU,INR,45000,34.1141,1319.102658,1319,0.102658432,1,03/08/2007,,
36,15,1891,30/04/2007,Self Help Project,,P-91/06-07,INR,40000,34.1141,1172.535696,1173,-0.464303616,1,01/02/2008,,01/12/2009
37,15,6651,30/04/2007,Sewing Machines Distribution,,P-86/06-07,INR,43000,34.1141,1260.475874,1260,0.475873612,1,02/09/2008,,05/08/2009
38,15,484,30/04/2007,Self help Project ,,P-59/06-07,INR,45000,34.1141,1319.102658,1319,0.102658432,1,23/10/2007,,17/07/2008
39,15,1730,30/04/2007,Cow Bank,,P-118/06-07/TCR,INR,48400,34.1141,1418.768193,1419,-0.231807376,1,01/02/2008,,
40,15,600,30/04/2007,Rabbit Rearing,"Please note: In April 2007 when this project was received it was erroneously listed against the new Indian twin SRN: 6180, St George which replaces St Antony SRN: 600 in March 2002. The project was for St Antony and this is where the funds have gone.",P-114/06-07/KRY,INR,40000,34.1141,1172.535696,1173,-0.464303616,1,02/11/2007,,01/05/2009
41,15,2582,30/04/2007,Cow Bank,,P-110/06-07/KTM,INR,55000,34.1141,1612.236583,1612,0.236582527,1,03/08/2007,,09/04/2012
43,15,6595,30/04/2007,Goat Bank,,P-115/06-07/MDY,INR,35000,33.0428,1059.232268,1059,0.232268452,1,23/10/2007,,21/09/2008
44,15,642,30/04/2007,Hiring Service,,P-113/06-07/KRY,INR,40000,33.1303,1207.353993,1207,0.353993172,1,02/11/2007,,01/05/2009
45,16,2340,07/06/2007,Cattle breeding project,,,IDR,10000000,7450.71,1342.153969,1342,0.153969219,1,02/11/2007,,
46,16,2342,07/06/2007,Cattle breeding project,,,IDR,10000000,7450.71,1342.153969,1342,0.153969219,1,09/05/2008,,
47,16,732,07/06/2007,Cattle breeding,,Pyk/II/2007,IDR,9500000,7450.71,1275.046271,1275,0.046270758,1,02/05/2008,,
50,16,6686,07/06/2007,Cow project,,Pyk/II/2007,IDR,8500000,7450.71,1140.830874,1141,-0.169126164,1,02/05/2008,,
51,16,698,07/06/2007,Cattle breeding project,,,IDR,12000000,7450.71,1610.584763,1611,-0.415236937,1,09/05/2008,,
52,16,1365,07/06/2007,Cattle breeding project,Offered to SRN: 2069 Broken Hill who can not pay it as per email from Doug Puxty of 22/10/07. He will offer them to Canberra/Goulburn who will pay.  KW,,IDR,10000000,7450.71,1342.153969,1342,0.153969219,1,01/02/2008,,
53,16,2337,07/06/2007,Cattle breeding project,,,IDR,10000000,7450.71,1342.153969,1342,0.153969219,1,09/10/2007,,
54,16,1363,07/06/2007,Cattle breeding project,Offered to SRN: 1363 Parkes NSW who can not pay it as per email from Doug Puxty of 22/10/07. He will offer them to another Diocese.  KW,,IDR,10000000,7450.71,1342.153969,1342,0.153969219,1,01/02/2008,,
55,15,2131,07/06/2007,Goatery Self help revolving project,,02/07-08/BAM,INR,50000,34.4242,1452.466579,1452,0.466578744,1,01/02/2008,,
56,15,2451,07/06/2007,Goatery - Aid to the poor self employment,,03/07-08/BAM,INR,54000,34.4242,1568.663905,1569,-0.336094956,1,01/02/2008,,
57,16,6684,07/06/2007,Brahman Cow Project,,Pyk/II/2007,IDR,7900000,7450.71,1060.301636,1060,0.301635683,,,,
58,15,758,11/06/2007,Self Help Project,,60/06-07,IDR,47500,34.3666,1382.15593,1382,0.155930467,1,02/05/2008,,
59,15,6192,11/06/2007,Grameen Bank,,P-61/06-07,IDR,47500,34.3666,1382.15593,1382,0.155930467,1,01/02/2008,,19/01/2009
60,15,485,11/06/2007,Cow Rearing,,83/06-07/TKY,IDR,40000,34.3666,1163.920784,1164,-0.079216449,1,23/10/2007,,
