Local_To_Overseas_Twinnings::pk_local_to_overseas_twinnings_ID,Local_To_Overseas_Twinnings::fk_localconference_ID,Local_To_Overseas_Twinnings::fk_overseasconference_ID,Local_To_Overseas_Twinnings::local_to_overseas_twinnings_ActiveFlag,Local_To_Overseas_Twinnings::----- U I  F I E L D S -----,Local_To_Overseas_Twinnings::c_UI_local_to_overseas_twinnings_GreenActive,Local_To_Overseas_Twinnings::c_UI_local_to_overseas_twinnings_RedInActive,Local_To_Overseas_Twinnings::----- L O O K  U P S -----,Local_To_Overseas_Twinnings::local_to_overseas_twinnings_Local_Conf_Name_LU,Local_To_Overseas_Twinnings::local_to_overseas_twinnings_Local_Conf_State_LU,Local_To_Overseas_Twinnings::local_to_overseas_twinnings_Local_Conf_DioCouncil_LU,Local_To_Overseas_Twinnings::local_to_overseas_twinnings_Local_Conf_RegionalCouncil_LU,Local_To_Overseas_Twinnings::local_to_overseas_twinnings_Local_Conf_Parish_LU,Local_To_Overseas_Twinnings::local_to_overseas_twinnings_Overseas_Conf_Name_LU,Local_To_Overseas_Twinnings::local_to_overseas_twinnings_Overseas_Conf_Country_LU
3355,1,1,,,,,,ST JOSEPH,,WAGGA WAGGA,SOUTH WEST,JERILDERIE,ST MARTIN DE PORRES: VILLUPURAM,INDIA
,,,,,,,,,,,,,,
,3,5977,,,,,,ST VIRGIL'S COLLEGE (YR 10),,,GLENORCHY,AUSTINS FERRY,O.L. OF HEALTH: PATTABIRAM,INDIA
5048,5,5776,,,,,,SACRED HEART COLLEGE,,,GLENORCHY,NEW TOWN,ST ARULANANDAR: ALLIKONDAPATHU,INDIA
5513,5,6586,,,,,,SACRED HEART COLLEGE,,,GLENORCHY,NEW TOWN,ST GEORGE: LAKOOR,INDIA
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
5227,10,6118,,,,,,STELLA MARIS,,,LAUNCESTON,GEORGE TOWN,ST JUDE: NAUDIHA,INDIA
4917,11,2632,,,,,,CHURCH OF APOSTLES,,,LAUNCESTON,LAUNCESTON,ST THERESA (L): MARAATHAKKARA,INDIA
5228,11,6119,,,,,,CHURCH OF APOSTLES,,,LAUNCESTON,LAUNCESTON,O.L. OF HEALER: KARUMANDAPAM,INDIA
6552,19,6221,,,,,,O.L. OF LOURDES,,,DEVONPORT,DEVONPORT,CHRIST THE KING SRN: 6221: VILLUPURAM,INDIA
,,,,,,,,,,,,,,
3481,13,203,,,,,,ST CATHERINE LABOURE DAY,,SYDNEY ARCH,SUTHERLAND,GYMEA,ST MARY (L): ,INDIA
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
4886,14,2591,,,,,,OUR LADY OF THE WAY,,SYDNEY ARCH,SUTHERLAND,SYLVANIA,FATIMA MATHA: POONKULAM,INDIA
6168,11,15,,,,,,CHURCH OF APOSTLES SRN: 11,,,LAUNCESTON,LAUNCESTON,ST THOMAS SRN: 15: ST THOMAS,INDIA
6169,11,2415,,,,,,CHURCH OF APOSTLES SRN: 11,,,LAUNCESTON,LAUNCESTON,ST JOSEPH SRN: 2415: AMBATTUR,INDIA
,,,,,,,,,,,,,,
5454,17,6502,,,,,,ST JOSEPH,,SYDNEY ARCH,SUTHERLAND,OYSTER BAY,ST MARY: POOVAKKULAM,INDIA
3357,18,7,,,,,,SACRED HEART,,,DEVONPORT,ULVERSTONE,ST MARIA (MIX): WARUJAYENG,INDONESIA
3362,18,18,,,,,,SACRED HEART,,,DEVONPORT,ULVERSTONE,SACRED HEART: ,PAKISTAN
5007,18,5714,,,,,,SACRED HEART,,,DEVONPORT,ULVERSTONE,OUR LADY OF FATIMA: BARANGAY BAUTISTA,PHILIPPINES
3363,19,19,,,,,,O.L. OF LOURDES,,,DEVONPORT,DEVONPORT,OUR LADY: ,PAKISTAN
5068,19,5806,,,,,,O.L. OF LOURDES,,,DEVONPORT,DEVONPORT,ST THOMAS AQUINAS: SOCIETY OF ST VINCENT DE PAUL,PHILIPPINES
,,,,,,,,,,,,,,
5049,20,5777,,,,,,ST JOSEPH,,,DEVONPORT,DEVONPORT EAST,ST XAVIER: ZANIM GUDALUR,INDIA
3364,21,21,,,,,,ST PATRICK,,,BURNIE,BURNIE,ST JOSEPH: ,PAKISTAN
5155,21,6003,,,,,,ST PATRICK,,,BURNIE,BURNIE,SACRED HEART: MOPPEDU,INDIA
3365,22,22,,,,,,ST PETER CHANEL,,,BURNIE,SMITHTON,ST THERESA OF CHILD JESUS: ,PAKISTAN
3366,24,24,,,,,,ST BRIGID,,,BURNIE,WYNYARD,ST ROQUE: ,INDIA
